date,name,approximate
1982-10-10,体育の日,False
1982-10-11,休日,False
1982-11-03,文化の日,False
1982-11-23,勤労感謝の日,False
1982-12-29,年末年始休暇,False
1982-12-30,年末年始休暇,False
1982-12-31,年末年始休暇,False
1983-01-01,元日,False
1983-01-02,年末年始休暇,False
1983-01-03,年末年始休暇,False
1983-01-15,成人の日,False
1983-02-11,建国記念の日,False
1983-03-21,春分の日,True
1983-04-29,天皇誕生日,False
1983-05-03,憲法記念日,False
1983-05-05,こどもの日,False
1983-09-15,敬老の日,False
1983-09-23,秋分の日,True
1983-10-10,体育の日,False
1983-11-03,文化の日,False
1983-11-23,勤労感謝の日,False
1983-12-29,年末年始休暇,False
1983-12-30,年末年始休暇,False
1983-12-31,年末年始休暇,False
1984-01-01,元日,False
1984-01-02,休日,False
1984-01-03,年末年始休暇,False
1984-01-15,成人の日,False
1984-01-16,休日,False
1984-02-11,建国記念の日,False
1984-03-20,春分の日,True
1984-04-29,天皇誕生日,False
1984-04-30,休日,False
1984-05-03,憲法記念日,False
1984-05-05,こどもの日,False
1984-09-15,敬老の日,False
1984-09-23,秋分の日,True
1984-09-24,休日,False
1984-10-10,体育の日,False
1984-11-03,文化の日,False
1984-11-23,勤労感謝の日,False
1984-12-29,年末年始休暇,False
1984-12-30,年末年始休暇,False
1984-12-31,年末年始休暇,False
1985-01-01,元日,False
1985-01-02,年末年始休暇,False
1985-01-03,年末年始休暇,False
1985-01-15,成人の日,False
1985-02-11,建国記念の日,False
1985-03-21,春分の日,True
1985-04-29,天皇誕生日,False
1985-05-03,憲法記念日,False
1985-05-05,こどもの日,False
1985-05-06,休日,False
1985-09-15,敬老の日,False
1985-09-16,休日,False
1985-09-23,秋分の日,True
1985-10-10,体育の日,False
1985-11-03,文化の日,False
1985-11-04,休日,False
1985-11-23,勤労感謝の日,False
1985-12-29,年末年始休暇,False
1985-12-30,年末年始休暇,False
1985-12-31,年末年始休暇,False
1986-01-01,元日,False
1986-01-02,年末年始休暇,False
1986-01-03,年末年始休暇,False
1986-01-15,成人の日,False
1986-02-11,建国記念の日,False
1986-03-21,春分の日,True
1986-04-29,天皇誕生日,False
1986-05-03,憲法記念日,False
1986-05-05,こどもの日,False
1986-09-15,敬老の日,False
1986-09-23,秋分の日,True
1986-10-10,体育の日,False
1986-11-03,文化の日,False
1986-11-23,勤労感謝の日,False
1986-11-24,休日,False
1986-12-29,年末年始休暇,False
1986-12-30,年末年始休暇,False
1986-12-31,年末年始休暇,False
1987-01-01,元日,False
1987-01-02,年末年始休暇,False
1987-01-03,年末年始休暇,False
1987-01-15,成人の日,False
1987-02-11,建国記念の日,False
1987-03-21,春分の日,True
1987-04-29,天皇誕生日,False
1987-05-03,憲法記念日,False
1987-05-04,国民の休日,False
1987-05-05,こどもの日,False
1987-09-15,敬老の日,False
1987-09-23,秋分の日,True
1987-10-10,体育の日,False
1987-11-03,文化の日,False
1987-11-23,勤労感謝の日,False
1987-12-29,年末年始休暇,False
1987-12-30,年末年始休暇,False
1987-12-31,年末年始休暇,False
1988-01-01,元日,False
1988-01-02,年末年始休暇,False
1988-01-03,年末年始休暇,False
1988-01-15,成人の日,False
1988-02-11,建国記念の日,False
1988-03-20,春分の日,True
1988-03-21,休日,False
1988-04-29,天皇誕生日,False
1988-05-03,憲法記念日,False
1988-05-04,国民の休日,False
1988-05-05,こどもの日,False
1988-09-15,敬老の日,False
1988-09-23,秋分の日,True
1988-10-10,体育の日,False
1988-11-03,文化の日,False
1988-11-23,勤労感謝の日,False
1988-12-29,年末年始休暇,False
1988-12-30,年末年始休暇,False
1988-12-31,年末年始休暇,False
1989-01-01,元日,False
1989-01-02,休日,False
1989-01-03,年末年始休暇,False
1989-01-15,成人の日,False
1989-01-16,休日,False
1989-02-11,建国記念の日,False
1989-02-24,大喪の礼,False
1989-03-21,春分の日,True
1989-04-29,みどりの日,False
1989-05-03,憲法記念日,False
1989-05-04,国民の休日,False
1989-05-05,こどもの日,False
1989-09-15,敬老の日,False
1989-09-23,秋分の日,True
1989-10-10,体育の日,False
1989-11-03,文化の日,False
1989-11-23,勤労感謝の日,False
1989-12-23,天皇誕生日,False
1989-12-29,年末年始休暇,False
1989-12-30,年末年始休暇,False
1989-12-31,年末年始休暇,False
1990-01-01,元日,False
1990-01-02,年末年始休暇,False
1990-01-03,年末年始休暇,False
1990-01-15,成人の日,False
1990-02-11,建国記念の日,False
1990-02-12,休日,False
1990-03-21,春分の日,True
1990-04-29,みどりの日,False
1990-04-30,休日,False
1990-05-03,憲法記念日,False
1990-05-04,国民の休日,False
1990-05-05,こどもの日,False
1990-09-15,敬老の日,False
1990-09-23,秋分の日,True
1990-09-24,休日,False
1990-10-10,体育の日,False
1990-11-03,文化の日,False
1990-11-12,即位礼正殿の儀,False
1990-11-23,勤労感謝の日,False
1990-12-23,天皇誕生日,False
1990-12-24,休日,False
1990-12-29,年末年始休暇,False
1990-12-30,年末年始休暇,False
1990-12-31,年末年始休暇,False
1991-01-01,元日,False
1991-01-02,年末年始休暇,False
1991-01-03,年末年始休暇,False
1991-01-15,成人の日,False
1991-02-11,建国記念の日,False
1991-03-21,春分の日,True
1991-04-29,みどりの日,False
1991-05-03,憲法記念日,False
1991-05-04,休日,False
1991-05-05,こどもの日,False
1991-05-06,休日,False
1991-09-15,敬老の日,False
1991-09-16,休日,False
1991-09-23,秋分の日,True
1991-10-10,体育の日,False
1991-11-03,文化の日,False
1991-11-04,休日,False
1991-11-23,勤労感謝の日,False
1991-12-23,天皇誕生日,False
1991-12-29,年末年始休暇,False
1991-12-30,年末年始休暇,False
1991-12-31,年末年始休暇,False
1992-01-01,元日,False
1992-01-02,年末年始休暇,False
1992-01-03,年末年始休暇,False
1992-01-15,成人の日,False
1992-02-11,建国記念の日,False
1992-03-20,春分の日,True
1992-04-29,みどりの日,False
1992-05-03,憲法記念日,False
1992-05-04,国民の休日,False
1992-05-05,こどもの日,False
1992-09-15,敬老の日,False
1992-09-23,秋分の日,True
1992-10-10,体育の日,False
1992-11-03,文化の日,False
1992-11-23,勤労感謝の日,False
1992-12-23,天皇誕生日,False
1992-12-29,年末年始休暇,False
1992-12-30,年末年始休暇,False
1992-12-31,年末年始休暇,False
1993-01-01,元日,False
1993-01-02,年末年始休暇,False
1993-01-03,年末年始休暇,False
1993-01-15,成人の日,False
1993-02-11,建国記念の日,False
1993-03-20,春分の日,True
1993-04-29,みどりの日,False
1993-05-03,憲法記念日,False
1993-05-04,国民の休日,False
1993-05-05,こどもの日,False
1993-06-09,結婚の儀,False
1993-09-15,敬老の日,False
1993-09-23,秋分の日,True
1993-10-10,体育の日,False
1993-10-11,休日,False
1993-11-03,文化の日,False
1993-11-23,勤労感謝の日,False
1993-12-23,天皇誕生日,False
1993-12-29,年末年始休暇,False
1993-12-30,年末年始休暇,False
1993-12-31,年末年始休暇,False
1994-01-01,元日,False
1994-01-02,年末年始休暇,False
1994-01-03,年末年始休暇,False
1994-01-15,成人の日,False
1994-02-11,建国記念の日,False
1994-03-21,春分の日,True
1994-04-29,みどりの日,False
1994-05-03,憲法記念日,False
1994-05-04,国民の休日,False
1994-05-05,こどもの日,False
1994-09-15,敬老の日,False
1994-09-23,秋分の日,True
1994-10-10,体育の日,False
1994-11-03,文化の日,False
1994-11-23,勤労感謝の日,False
1994-12-23,天皇誕生日,False
1994-12-29,年末年始休暇,False
1994-12-30,年末年始休暇,False
1994-12-31,年末年始休暇,False
1995-01-01,元日,False
1995-01-02,休日,False
1995-01-03,年末年始休暇,False
1995-01-15,成人の日,False
1995-01-16,休日,False
1995-02-11,建国記念の日,False
1995-03-21,春分の日,True
1995-04-29,みどりの日,False
1995-05-03,憲法記念日,False
1995-05-04,国民の休日,False
1995-05-05,こどもの日,False
1995-09-15,敬老の日,False
1995-09-23,秋分の日,True
1995-10-10,体育の日,False
1995-11-03,文化の日,False
1995-11-23,勤労感謝の日,False
1995-12-23,天皇誕生日,False
1995-12-29,年末年始休暇,False
1995-12-30,年末年始休暇,False
1995-12-31,年末年始休暇,False
1996-01-01,元日,False
1996-01-02,年末年始休暇,False
1996-01-03,年末年始休暇,False
1996-01-15,成人の日,False
1996-02-11,建国記念の日,False
1996-02-12,休日,False
1996-03-20,春分の日,True
1996-04-29,みどりの日,False
1996-05-03,憲法記念日,False
1996-05-04,休日,False
1996-05-05,こどもの日,False
1996-05-06,休日,False
1996-07-20,海の日,False
1996-09-15,敬老の日,False
1996-09-16,休日,False
1996-09-23,秋分の日,True
1996-10-10,体育の日,False
1996-11-03,文化の日,False
1996-11-04,休日,False
1996-11-23,勤労感謝の日,False
1996-12-23,天皇誕生日,False
1996-12-29,年末年始休暇,False
1996-12-30,年末年始休暇,False
1996-12-31,年末年始休暇,False
1997-01-01,元日,False
1997-01-02,年末年始休暇,False
1997-01-03,年末年始休暇,False
1997-01-15,成人の日,False
1997-02-11,建国記念の日,False
1997-03-20,春分の日,True
1997-04-29,みどりの日,False
1997-05-03,憲法記念日,False
1997-05-05,こどもの日,False
